"","Checked","Ion","Charge","Molecular.Weight","m.z","RT..min.","FWHM..min.","X..MI","Area","Parent.Area....","Study.File.ID","X.","beginNum","scanNum","tr","pepmass","endNum","productIon","intensity","neutralLoss","Hex","dHex","Pen","HexA","Mal","Cou","Fur","Sin","DDMP","Caf","mzOfChain","ppm","numOfSugar","k.radio","lable","Algycone"
"5005","false","[M-H]-1","-1","NA","433.114013671875","0.1","0.142","3","227241.644436151","100","F2","","1","2","6","433.114013671875","226","271.0612","1","162.0528",1,0,0,0,0,0,0,0,0,0,162.0528233,0.0825155257267465,1,1,"Biggest NL (One)","Glycinol / Pinobanksin / (2S)-Naringenin / 1-Phenyl-3-(2,4,6-Trihydroxyphenyl)Propane-1,3-Dione / 2,4',7-Trihydroxyisoflavanone / 2,5,7-Trihydroxyflavanone / Naringenin Chalcone / P-Coumaroyltriacetic Acid Lactone"
"50051","...","...","...","...","...","...","...","...","...","...","...","...","227","4","16","433.114013671875","464","271.0612","1","162.0528",1,0,0,0,0,0,0,0,0,0,162.0528233,0.201342567744626,1,1,"Biggest NL (One)","Glycinol / Pinobanksin / (2S)-Naringenin / 1-Phenyl-3-(2,4,6-Trihydroxyphenyl)Propane-1,3-Dione / 2,4',7-Trihydroxyisoflavanone / 2,5,7-Trihydroxyflavanone / Naringenin Chalcone / P-Coumaroyltriacetic Acid Lactone"
"2","false","[M-H]-1","-1","NA","433.114013671875","0.266666666666667","0.142","3","227241.644436151","100","F2","","1","2","6","433.114013671875","226","271.0612","1","162.0528",1,0,0,0,0,0,0,0,0,0,162.0528233,0.0825155257267465,1,1,"Biggest NL (One)","Glycinol / Pinobanksin / (2S)-Naringenin / 1-Phenyl-3-(2,4,6-Trihydroxyphenyl)Propane-1,3-Dione / 2,4',7-Trihydroxyisoflavanone / 2,5,7-Trihydroxyflavanone / Naringenin Chalcone / P-Coumaroyltriacetic Acid Lactone"
"1","...","...","...","...","...","...","...","...","...","...","...","...","227","4","16","433.114013671875","464","271.0612","1","162.0528",1,0,0,0,0,0,0,0,0,0,162.0528233,0.201342567744626,1,1,"Biggest NL (One)","Glycinol / Pinobanksin / (2S)-Naringenin / 1-Phenyl-3-(2,4,6-Trihydroxyphenyl)Propane-1,3-Dione / 2,4',7-Trihydroxyisoflavanone / 2,5,7-Trihydroxyflavanone / Naringenin Chalcone / P-Coumaroyltriacetic Acid Lactone"
"3","false","[M-H]-1","-1","NA","280.10513305664","0.85","0.142","3","227241.644436151","100","F2","","465","11","51","280.1051330566406","614","148.0617","1","132.0434",0,0,1,0,0,0,0,0,0,0,132.0422586,9.00049693575261,1,1,"Biggest NL (One)","1-Methyladenine / N,N-Dihydroxy-Valine"
"4","false","[M-H]-1","-1","NA","266.08950805664","1.01666666666667","0.142","3","227241.644436151","100","F2","","615","13","61","266.0895080566406","828","134.0461","1","132.0434",0,0,1,0,0,0,0,0,0,0,132.0422586,8.68999577415891,1,1,"Biggest NL (One)","Adenine"
"5","false","[M-H]-1","-1","NA","563.140625","1.51666666666667","0.142","3","227241.644436151","100","F2","","829","19","91","563.140625","1082","239.0348","0.01011849","324.1058",2,0,0,0,0,0,0,0,0,0,324.1056466,0.436277305733653,2,0.5," ","No matched algycone"
"11","...","...","...","...","...","...","...","...","...","...","...","...","829","19","91","563.140625","1082","255.0659","0.01074883","308.0747",0,0,1,1,0,0,0,0,0,0,308.0743464,1.24515243416341,2,0.5," ","Pinocembrin / 4',7-Dihydroxyflavanone / (-)-3,9-Dihydroxypterocarpan"" / Apigeninidin / Pinocembrin Chalcone / [3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl] 2,4-Dihydroxy-6-[(E)-2-Phenylethenyl]Benzoate-Aglycone / Aloin-Aglycone / Isoliquiritigen"
"21","...","...","...","...","...","...","...","...","...","...","...","...","829","19","91","563.140625","1082","269.0455","1","294.0951",1,0,1,0,0,0,0,0,0,0,294.0950819,0.190754598584303,2,0.5,"Biggest NL (One)","Trihydroxyflavone / Baicalein / Lucidin / Emodin / Genistein / 8-[(2S,3R,4R,5S,6R)-3,4-Dihydroxy-6-(Hydroxymethyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxyoxan-2-Yl]-5,7-Dihydroxy-2-(4-Hydroxyphenyl)Chromen-4-One-Aglycone / Pelargonidin"
"6","false","[M-H]-1","-1","NA","423.129669189453","2.26666666666667","0.142","3","227241.644436151","100","F2","","1083","28","136","423.1296691894531","1380","261.0769","0.1593385","162.0528",1,0,0,0,0,0,0,0,0,0,162.0528233,0.124098728776352,1,1,"Biggest NL (One)","Smyrindiol / Racemol"
