"","beginNum","scanNum","tr","pepmass","endNum","productIon","intensity","neutralLoss","Hex","dHex","Pen","HexA","Mal","Cou","Fur","Sin","DDMP","Caf","mzOfChain","ppm","numOfSugar","k.radio","lable"
"5005","1","2","6","433.114013671875","226","271.0612","1","162.0528",1,0,0,0,0,0,0,0,0,0,162.0528233,0.0825155257267465,1,1,"Biggest NL (One)"
"50051","227","4","16","433.114013671875","464","271.0612","1","162.0528",1,0,0,0,0,0,0,0,0,0,162.0528233,0.201342567744626,1,1,"Biggest NL (One)"
"1716","465","11","51","280.1051330566406","614","148.0617","1","132.0434",0,0,1,0,0,0,0,0,0,0,132.0422586,9.00049693575261,1,1,"Biggest NL (One)"
"17161","615","13","61","266.0895080566406","828","134.0461","1","132.0434",0,0,1,0,0,0,0,0,0,0,132.0422586,8.68999577415891,1,1,"Biggest NL (One)"
"7007","829","19","91","563.140625","1082","239.0348","0.01011849","324.1058",2,0,0,0,0,0,0,0,0,0,324.1056466,0.436277305733653,2,0.5," "
"2178","829","19","91","563.140625","1082","255.0659","0.01074883","308.0747",0,0,1,1,0,0,0,0,0,0,308.0743464,1.24515243416341,2,0.5," "
"5797","829","19","91","563.140625","1082","269.0455","1","294.0951",1,0,1,0,0,0,0,0,0,0,294.0950819,0.190754598584303,2,0.5,"Biggest NL (One)"
"50052","1083","28","136","423.1296691894531","1380","261.0769","0.1593385","162.0528",1,0,0,0,0,0,0,0,0,0,162.0528233,0.124098728776352,1,1,"Biggest NL (One)"
"57971","1381","31","151","549.161376953125","1689","255.0661","1","294.0953",1,0,1,0,0,0,0,0,0,0,294.0950819,0.75843823840568,2,1,"Biggest NL (One)"
"17162","1381","31","151","549.161376953125","1689","417.1189","0.01163964","132.0424",0,0,1,0,0,0,0,0,0,0,132.0422586,1.32043253903191,1,1," "
"6292","1690","40","196","579.1719360351562","2014","271.0612","0.1330871","308.1107",1,1,0,0,0,0,0,0,0,0,308.110732,0.0325699655870185,2,0.5,"Biggest NL (One)"
"50053","2015","43","211","517.1715087890625","2436","355.1186","0.1468662","162.0529",1,0,0,0,0,0,0,0,0,0,162.0528233,0.576904534482418,1,1,"Biggest NL (One)"
"50054","2437","46","226","497.19293212890614","2807","335.1399","0.01402418","162.053",1,0,0,0,0,0,0,0,0,0,162.0528233,1.12203353459273,1,1,"Biggest NL (One)"
"70071","2808","49","241","473.16644287109386","3038","149.0597","1","324.1068",2,0,0,0,0,0,0,0,0,0,324.1056466,3.40712154515386,2,0.5,"Biggest NL (One)"
"1386","3039","55","271","821.396484375","3409","469.3328","0.01192323","352.0637",0,0,0,2,0,0,0,0,0,0,352.0641756,1.2816571795552,2,1,"Biggest NL (One)"
"924","3039","55","271","821.396484375","3409","645.3655","0.01727026","176.031",0,0,0,1,0,0,0,0,0,0,176.0320878,6.22290987079827,1,1," "
"50055","3410","58","286","311.1499938964844","3658","149.0959","1","162.0541",1,0,0,0,0,0,0,0,0,0,162.0528233,7.93930178743712,1,1,"Biggest NL (One)"
"50056","3659","61","301","533.2028198242188","4085","371.1494","0.1879877","162.0535",1,0,0,0,0,0,0,0,0,0,162.0528233,3.90318253653718,1,1,"Biggest NL (One)"
"62921","4086","70","346","427.1609497070312","4379","119.0489","1","308.1121",1,1,0,0,0,0,0,0,0,0,308.110732,4.39355382026573,2,0.5,"Biggest NL (One)"
"50057","4380","73","361","299.1136169433594","4594","137.0595","0.02419911","162.0541",1,0,0,0,0,0,0,0,0,0,162.0528233,7.87171301247843,1,1,"Biggest NL (One)"
"57972","4595","76","376","429.1402282714844","4793","135.0438","1","294.0965",1,0,1,0,0,0,0,0,0,0,294.0950819,4.74120432174872,2,0.5,"Biggest NL (One)"
"50058","4794","79","391","345.1191101074219","5293","183.065","0.01074887","162.0541",1,0,0,0,0,0,0,0,0,0,162.0528233,7.70611565416342,1,1,"Biggest NL (One)"
"50059","5294","85","421","297.0979614257812","5997","135.0438","0.01697127","162.0541",1,0,0,0,0,0,0,0,0,0,162.0528233,7.97342158078588,1,1,"Biggest NL (One)"
"500510","5998","91","451","431.0983581542969","6205","269.0455","1","162.0529",1,0,0,0,0,0,0,0,0,0,162.0528233,0.517450123748922,1,1,"Biggest NL (One)"
"500511","6206","94","466","323.0772399902344","6457","161.0234","0.3317453","162.0539",1,0,0,0,0,0,0,0,0,0,162.0528233,6.48358603527311,1,1,"Biggest NL (One)"
"5006","6458","97","481","407.0983581542969","6732","83.01246","0.0113364","324.0859",1,0,0,0,0,0,0,0,0,1,324.0845186,4.25366950238283,2,1,"Biggest NL (One)"
"500512","6458","97","481","407.0983581542969","6732","245.0454","0.2560324","162.053",1,0,0,0,0,0,0,0,0,0,162.0528233,0.807478626768612,1,1," "
"57973","6733","100","496","431.1558837890625","7055","137.0598","0.01753771","294.0961",1,0,1,0,0,0,0,0,0,0,294.0950819,3.56308348303787,2,1,"Biggest NL (One)"
"17163","6733","100","496","431.1558837890625","7055","299.1135","0.04228563","132.0423",0,0,1,0,0,0,0,0,0,0,132.0422586,0.592151460068883,1,1," "
"500513","7056","103","511","393.1191101074219","7254","231.0659","0.2107126","162.0532",1,0,0,0,0,0,0,0,0,0,162.0528233,2.29435415721848,1,1,"Biggest NL (One)"
"17164","7056","103","511","393.1191101074219","7254","261.0769","0.02427911","132.0422",0,0,1,0,0,0,0,0,0,0,132.0422586,0.20063715767949,1,1," "
"500514","7255","106","526","285.0979614257812","7439","123.044","0.9494727","162.054",1,0,0,0,0,0,0,0,0,0,162.0528233,7.22059207829627,1,1,"Biggest NL (One)"
