"","ID","Scan","Algycone","Sim_Ions_Num_Energy1","Sim_Energy1","Sim_Ions_Num_Energy2","Sim_Energy2","Sim_Ions_Num_Energy3","Sim_Energy3"
"1",2,4,"Naringenin",12,0.666666666666667,12,0.571428571428571,7,0.388888888888889
"2",19,55,"18alpha-glycyrrhetinic acid",6,0.0458015267175573,7,0.0660377358490566,7,0.0921052631578947
"3",20,58,"Thymol",3,0.214285714285714,2,0.181818181818182,2,0.142857142857143
"4",21,61,"arctigenin",13,1,10,0.833333333333333,9,0.818181818181818
"5",31,91,"Emodin",2,0.666666666666667,2,0.333333333333333,0,0
"6",32,94,"(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid",2,0.666666666666667,2,0.4,0,0
"7",48,142,"Phloretin",10,0.625,10,0.434782608695652,6,0.272727272727273
"8",50,148,"Cinnamic acid",5,0.192307692307692,5,0.25,3,0.157894736842105
"9",54,160,"isorhapontigenin",8,0.615384615384615,4,0.285714285714286,1,0.04
"10",66,196,"resveratrol",3,0.3,3,0.157894736842105,1,0.0454545454545455
"11",74,220,"Isopeonol",4,0.5,4,0.5,1,0.0909090909090909
"12",92,274,"isorhapontigenin",9,0.692307692307692,7,0.5,3,0.12
"13",95,283,"NEROL",6,0.117647058823529,9,0.147540983606557,10,0.153846153846154
"14",104,310,"syringaresinol",11,0.289473684210526,8,0.195121951219512,3,0.0681818181818182
"15",109,325,"Scopoletin",5,0.833333333333333,4,0.666666666666667,1,0.111111111111111
"16",114,340,"5-[6-(3-hydroxy-4-methoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-3-yl]-2-methoxyphenol",5,0.227272727272727,5,0.0943396226415094,2,0.0555555555555556
"17",129,385,"syringaresinol",15,0.394736842105263,14,0.341463414634146,7,0.159090909090909
"18",158,472,"3-methylquercetin",6,0.285714285714286,5,0.128205128205128,3,0.0731707317073171
"19",162,484,"3-Heptanone, 7-(3,4-dihydroxyphenyl)-5-hydroxy-1-(4-hydroxyphenyl)-",2,0.0454545454545455,2,0.0571428571428571,0,0
"20",167,499,"Diosmetin",4,0.4,3,0.3,0,0
"21",168,502,"Genistein",2,1,2,1,0,0
"22",170,508,"Luteolin",3,0.272727272727273,3,0.130434782608696,1,0.0476190476190476
"23",171,511,"Apigenin",2,0.285714285714286,2,0.105263157894737,0,0
"24",172,514,"Naringenin",15,0.833333333333333,15,0.714285714285714,9,0.5
"25",177,529,"Naringenin",13,0.722222222222222,13,0.619047619047619,7,0.388888888888889
